aX,aY,aZ,gX,gY,gZ
-0.120,-0.813,1.666,-22.522,100.403,56.335
-0.126,-0.799,1.717,-25.940,115.662,59.998
-0.146,-0.790,1.742,-31.799,132.446,63.904
-0.162,-0.782,1.723,-37.292,150.940,66.589
-0.153,-0.809,1.639,-43.945,171.143,68.726
-0.148,-0.818,1.569,-50.354,191.284,73.120
-0.153,-0.797,1.477,-55.359,210.937,80.078
-0.178,-0.751,1.356,-56.641,229.919,87.463
-0.229,-0.719,1.208,-53.650,245.605,92.651
-0.239,-0.664,1.036,-50.171,258.911,98.694
-0.252,-0.643,0.977,-46.936,267.334,104.370
-0.238,-0.586,0.872,-43.274,273.499,108.337
-0.251,-0.515,0.787,-39.063,278.931,111.267
-0.237,-0.453,0.637,-36.316,284.302,111.328
-0.212,-0.404,0.549,-38.452,283.691,108.765
-0.157,-0.375,0.488,-44.128,281.677,106.750
-0.078,-0.386,0.456,-51.392,281.860,103.821
0.004,-0.413,0.434,-59.143,284.668,103.271
0.040,-0.422,0.408,-68.176,290.344,106.812
0.012,-0.435,0.335,-77.393,299.500,112.427
-0.002,-0.424,0.232,-80.322,309.753,117.493
-0.042,-0.370,0.110,-78.857,317.139,122.803
-0.095,-0.285,-0.032,-76.172,320.679,125.977
-0.085,-0.193,-0.149,-74.280,318.542,124.146
-0.086,-0.154,-0.234,-76.721,312.622,121.521
-0.083,-0.140,-0.268,-82.947,304.871,118.225
-0.043,-0.125,-0.336,-83.130,299.316,113.708
-0.013,-0.138,-0.359,-81.360,296.692,110.352
0.015,-0.164,-0.380,-78.613,296.204,109.802
0.035,-0.158,-0.410,-75.256,299.622,113.953
0.000,-0.122,-0.461,-73.730,307.068,120.483
-0.102,-0.074,-0.528,-71.411,315.308,123.901
-0.167,-0.034,-0.694,-67.261,318.848,120.911
-0.191,-0.026,-0.851,-69.336,310.425,112.732
-0.161,-0.084,-0.929,-79.468,292.114,102.539
-0.102,-0.180,-0.896,-89.966,270.264,94.666
-0.018,-0.255,-0.796,-92.163,251.892,89.783
0.028,-0.270,-0.673,-84.900,242.615,88.989
0.031,-0.261,-0.592,-73.547,242.432,91.431
-0.003,-0.230,-0.541,-65.491,247.192,96.924
-0.064,-0.191,-0.507,-66.345,253.784,104.248
-0.138,-0.186,-0.487,-77.332,262.939,110.168
-0.223,-0.227,-0.508,-95.581,275.574,113.220
-0.331,-0.277,-0.570,-115.540,290.100,115.479
-0.470,-0.302,-0.688,-131.836,305.786,117.493
-0.675,-0.256,-0.901,-142.822,318.604,117.310
