aX,aY,aZ,gX,gY,gZ
1.807,-0.230,0.940,41.016,-52.979,30.945
2.223,-0.012,0.970,62.317,-63.965,37.964
2.466,0.239,0.995,63.721,-67.688,38.513
2.506,0.447,1.020,46.814,-60.852,30.396
2.334,0.650,1.053,28.564,-45.715,14.282
2.015,0.813,1.055,24.902,-26.062,-8.728
1.572,0.959,1.059,22.400,-6.226,-33.813
1.118,1.091,1.069,14.343,5.127,-57.373
0.779,1.137,1.034,2.380,9.033,-82.886
0.613,1.055,0.926,-12.817,9.583,-112.183
0.398,0.897,0.800,-27.161,8.484,-134.277
0.013,0.713,0.627,-26.611,7.996,-146.667
-0.512,0.565,0.420,-10.193,8.545,-151.184
-1.254,0.376,0.280,9.705,9.094,-147.339
-2.086,0.323,0.362,28.198,-0.427,-133.789
-2.943,0.486,0.533,51.514,-15.198,-129.089
-3.618,0.334,0.759,40.894,-20.569,-172.791
-3.729,-0.343,1.178,-16.968,-39.673,-240.356
-3.270,-1.224,1.698,-91.858,-86.121,-268.921
-2.232,-1.995,2.052,-141.479,-128.662,-251.465
-1.059,-2.714,1.939,-124.512,-118.774,-218.567
-0.349,-3.198,1.520,-54.810,-51.636,-175.659
-0.227,-3.197,1.133,6.165,16.052,-101.624
-0.436,-2.605,1.088,23.865,49.866,-6.714
-0.603,-1.487,1.192,35.156,53.467,76.050
-0.633,-0.309,1.248,70.251,50.720,127.991
-0.631,0.644,1.217,98.877,58.105,135.620
-0.540,1.220,0.999,95.581,61.829,119.751
-0.471,1.421,0.741,55.115,56.396,90.027
-0.407,1.314,0.596,7.874,40.710,54.260
-0.352,0.986,0.621,-26.489,20.691,17.395
-0.244,0.571,0.687,-42.908,3.662,-13.367
-0.167,0.170,0.729,-43.884,-4.944,-33.813
-0.123,-0.176,0.706,-34.119,-5.371,-44.495
-0.143,-0.455,0.671,-20.508,-1.526,-46.631
-0.197,-0.618,0.663,-8.728,-0.183,-40.344
-0.239,-0.698,0.696,1.160,-1.953,-30.823
-0.237,-0.710,0.747,8.240,-5.310,-20.996
-0.218,-0.673,0.783,12.817,-7.690,-10.742
-0.221,-0.642,0.785,19.165,-6.470,-1.770
-0.208,-0.548,0.746,26.917,-3.235,5.676
-0.232,-0.427,0.687,35.217,0.183,12.634
-0.267,-0.309,0.635,41.321,1.343,16.724
-0.295,-0.223,0.638,40.222,-2.747,18.372
