aX,aY,aZ,gX,gY,gZ
1.833,0.429,-0.585,-40.283,9.827,16.174
1.826,0.423,-0.603,-26.306,7.690,2.075
1.776,0.334,-0.600,-16.113,5.249,-11.719
1.748,0.174,-0.629,-11.597,6.104,-23.071
1.707,0.033,-0.699,-14.771,10.925,-28.748
1.714,-0.074,-0.753,-25.757,16.113,-29.907
1.688,-0.136,-0.809,-39.429,25.208,-28.748
1.617,-0.171,-0.867,-51.880,32.593,-27.954
1.559,-0.176,-0.896,-59.448,35.217,-25.269
1.512,-0.191,-0.875,-59.875,30.823,-21.362
1.469,-0.213,-0.856,-51.025,22.217,-17.822
1.409,-0.256,-0.837,-34.790,11.108,-15.625
1.333,-0.312,-0.805,-20.630,-1.038,-13.062
1.231,-0.310,-0.766,-16.724,-11.536,-6.714
1.169,-0.291,-0.699,-21.729,-20.752,1.648
1.078,-0.270,-0.631,-25.757,-30.884,9.216
1.014,-0.222,-0.570,-30.273,-40.100,17.639
1.018,-0.159,-0.508,-37.354,-47.668,26.917
1.023,-0.111,-0.424,-41.748,-55.786,32.837
1.019,-0.067,-0.344,-42.725,-61.462,35.461
0.973,0.007,-0.307,-40.283,-65.002,34.668
0.910,0.104,-0.233,-38.574,-69.946,30.029
0.837,0.174,-0.116,-35.278,-78.308,18.738
0.692,0.175,-0.025,-21.667,-89.294,2.625
0.599,0.128,-0.022,-8.118,-96.619,-11.719
0.555,0.046,-0.058,-4.517,-102.661,-21.667
0.464,-0.037,-0.089,-13.794,-107.727,-31.128
0.360,-0.058,-0.025,-37.415,-112.122,-35.095
0.265,-0.108,0.069,-59.326,-117.615,-36.316
0.133,-0.096,0.153,-71.777,-121.582,-32.104
0.039,-0.005,0.269,-88.867,-123.291,-20.752
-0.060,0.112,0.406,-108.032,-123.901,-10.193
-0.046,0.217,0.570,-130.798,-123.169,-3.357
-0.035,0.407,0.826,-160.034,-120.056,1.587
-0.029,0.613,1.095,-186.096,-115.967,1.892
0.125,0.777,1.378,-200.989,-104.126,-6.775
0.332,0.795,1.555,-190.002,-89.539,-26.245
0.474,0.654,1.666,-148.193,-80.505,-55.054
0.561,0.393,1.734,-84.167,-79.346,-86.182
0.529,0.050,1.708,-10.864,-77.087,-114.258
0.422,-0.302,1.543,57.129,-66.284,-130.371
0.255,-0.561,1.237,103.394,-42.664,-126.465
0.192,-0.740,0.839,121.033,-5.188,-103.333
0.216,-0.767,0.430,108.154,37.903,-67.322
0.285,-0.675,0.086,76.843,74.402,-28.564
0.385,-0.516,-0.194,46.082,95.581,3.662
0.537,-0.373,-0.375,20.996,99.487,26.367
0.636,-0.236,-0.452,3.052,88.806,38.452
0.735,-0.107,-0.392,-11.780,71.655,42.847
0.765,-0.018,-0.267,-20.752,53.406,39.307
0.735,0.018,-0.160,-18.982,40.161,30.396
0.716,0.036,-0.100,-10.620,33.447,23.071
0.712,0.061,-0.072,-0.244,31.311,18.433
0.726,0.077,-0.061,10.376,30.945,14.954
0.743,0.089,-0.059,18.005,31.494,10.864
0.758,0.090,-0.048,24.109,30.457,5.798
0.773,0.071,-0.020,30.396,26.367,-0.427
0.774,0.053,0.007,38.940,19.775,-5.981
0.779,0.026,0.044,46.570,13.062,-11.475
0.762,-0.029,0.061,52.795,9.521,-16.113
0.735,-0.078,0.073,55.786,9.277,-19.165
0.708,-0.129,0.076,55.054,10.254,-19.897
0.660,-0.161,0.071,50.659,13.306,-17.639
0.614,-0.162,0.084,40.649,16.113,-12.024
0.566,-0.161,0.121,28.564,18.250,-5.493
0.504,-0.142,0.160,16.174,21.423,0.061
0.494,-0.112,0.191,6.714,25.635,5.676
0.545,-0.092,0.227,3.479,30.823,10.437
0.644,-0.106,0.242,7.080,38.269,13.062
0.717,-0.125,0.185,17.395,48.767,14.343
0.745,-0.126,0.094,27.710,60.547,13.672
0.743,-0.168,-0.017,35.400,67.444,11.230
0.703,-0.209,-0.116,36.926,69.214,10.559
0.634,-0.211,-0.178,27.954,65.430,14.404
